,intent,snip
1530,check whether a file exists,print(os.path.isfile('/etc/password.txt'))
1531,check whether a file exists,print(os.path.isfile('/etc'))
1532,check whether a file exists,print(os.path.exists('/does/not/exist'))
1533,check whether a file exists,print(os.path.isfile('/does/not/exist'))
1534,check whether a file exists,print(os.path.exists('/etc'))
1535,check whether a file exists,print(os.path.exists('/etc/password.txt'))
1536,Split Strings with Multiple Delimiters?,"""""""a;bcd,ef g"""""".replace(';', ' ').replace(',', ' ').split()"
1537,Why can you loop through an implicit tuple in a for loop,list(i for i in range(3))
1538,Pythonically add header to a csv file,writer.writeheader()
1539,How to flatten a tuple in python,"[(a, b, c) for a, (b, c) in l]"
1540,Python - how to convert int to string represent a 32bit Hex number,"""""""0x{0:08X}"""""".format(3652458)"
1541,How can I convert a Python dictionary to a list of tuples?,"[(v, k) for k, v in list(d.items())]"
1542,How can I convert a Python dictionary to a list of tuples?,"[(v, k) for k, v in d.items()]"
1543,How can I convert a Python dictionary to a list of tuples?,"[(v, k) for k, v in a.items()]"
1544,How can I convert a Python dictionary to a list of tuples?,"[(k, v) for k, v in a.items()]"
1545,What's the easiest way to convert a list of hex byte strings to a list of hex integers?,"[int(x, 16) for x in ['BB', 'A7', 'F6', '9E']]"
1546,What's the easiest way to convert a list of hex byte strings to a list of hex integers?,"[int(x, 16) for x in L]"
1547,Two values from one input in python?,"var1, var2 = input('Enter two numbers here: ').split()"
1548,Django filter JSONField list of dicts,Test.objects.filter(actions__contains=[{'fixed_key_1': 'foo2'}])
1549,Is there a cleaner way to iterate through all binary 4-tuples?,"itertools.product(list(range(2)), repeat=4)"
1550,Python - Get Yesterday's date as a string in YYYY-MM-DD format,(datetime.now() - timedelta(1)).strftime('%Y-%m-%d')
1551,Python 3: Multiply a vector by a matrix without NumPy,"np.dot([1, 0, 0, 1, 0, 0], [[0, 1], [1, 1], [1, 0], [1, 0], [1, 1], [0, 1]])"
1552,Parse_dates in Pandas,"df['date'] = pd.to_datetime(df['date'], format='%d%b%Y')"
1553,Importing files from different folder,"sys.path.insert(0, '/path/to/application/app/folder')\nimport file"
1554,How can a pandas merge preserve order?,"x.reset_index().merge(y, how='left', on='state', sort=False).sort('index')"
1555,How can i create the empty json object in python,"json.loads(request.POST.get('mydata', '{}'))"
1556,Slicing a list into a list of sub-lists,"list(zip(*((iter([1, 2, 3, 4, 5, 6, 7, 8, 9]),) * 3)))"
1557,Slicing a list into a list of sub-lists,"list(grouper(2, [1, 2, 3, 4, 5, 6, 7]))"
1558,Slicing a list into a list of sub-lists,"[input[i:i + n] for i in range(0, len(input), n)]"
1559,Sorting numbers in string format with Python,"keys.sort(key=lambda x: map(int, x.split('.')))"
1560,Sorting numbers in string format with Python,keys.sort(key=lambda x: [int(y) for y in x.split('.')])
1561,numpy with python: convert 3d array to 2d,"img.transpose(2, 0, 1).reshape(3, -1)"
1562,Replacing few values in a pandas dataframe column with another value,"df['BrandName'].replace(['ABC', 'AB'], 'A')"
1563,Replacing few values in a pandas dataframe column with another value,"df['BrandName'] = df['BrandName'].replace(['ABC', 'AB'], 'A')"
1564,Pandas: Subtract row mean from each element in row,"df.sub(df.mean(axis=1), axis=0)"
1565,Python,""""""""""""".join([i for i in s if i.isalpha()])"
1566,How to split a string into integers in Python?,l = (int(x) for x in s.split())
1567,How to split a string into integers in Python?,"""""""42 0"""""".split()"
1568,How to split a string into integers in Python?,"map(int, '42 0'.split())"
1569,Get the indexes of truthy elements of a boolean list as a list/tuple,"[i for i, elem in enumerate(bool_list, 1) if elem]"
1570,How to group pandas DataFrame entries by date in a non-unique column,data.groupby(data['date'].map(lambda x: x.year))
1571,Getting the indices of several elements in a NumPy array at once,"np.in1d(b, a).nonzero()[0]"
1572,In Python,"time.strftime('%l:%M%p %z on %b %d, %Y')"
1573,Rotate axis text in python matplotlib,"ax.set_xticklabels(ax.xaxis.get_majorticklabels(), rotation=45)"
1574,How does python do string magic?,""""""""""""".join(['x', 'x', 'x'])"
1575,Array indexing in numpy,"x[(np.arange(x.shape[0]) != 1), :, :]"
1576,How do I pull a recurring key from a JSON?,print(item['name'])
1577,Read a File from redirected stdin with python,result = sys.stdin.read()
1578,How to get the content of a Html page in Python,""""""""""""".join(soup.findAll(text=True))"
1579,Extracting all rows from pandas Dataframe that have certain value in a specific column,data[data['Value'] == True]
1580,Removing duplicate characters from a string,""""""""""""".join(set(foo))"
1581,how to sort by a computed value in django,"sorted(Profile.objects.all(), key=lambda p: p.reputation)"
1582,python pandas flatten a dataframe to a list,df.values.flatten()
1583,how do I sort a python list of dictionaries given a list of ids with the desired order?,users.sort(key=lambda x: order.index(x['id']))
1584,how do I sort a python list of dictionaries given a list of ids with the desired order?,users.sort(key=lambda x: order.index(x['id']))
1585,Python requests library how to pass Authorization header with single token,"r = requests.get('<MY_URI>', headers={'Authorization': 'TOK:<MY_TOKEN>'})"
1586,How do I un-escape a backslash-escaped string in python?,"print('""Hello,\\nworld!""'.decode('string_escape'))"
1587,Can I have a non-greedy regex with dotall?,"re.findall('a*?bc*?', 'aabcc', re.DOTALL)"
1588,python/numpy: how to get 2D array column length?,a.shape[1]
1589,Adding calculated column(s) to a dataframe in pandas,"d.apply(lambda row: min([row['A'], row['B']]) - row['C'], axis=1)"
1590,Count number of occurrences of a given substring in a string,"""""""abcdabcva"""""".count('ab')"
1591,Get a list of values from a list of dictionaries in python,[d['key'] for d in l if 'key' in d]
1592,Get a list of values from a list of dictionaries in python,[d['key'] for d in l]
1593,Get a list of values from a list of dictionaries in python,[d['key'] for d in l]
1594,How to order a list of lists by the first value,l1.sort(key=lambda x: int(x[0]))
1595,How to order a list of lists by the first value,"sorted([[1, 'mike'], [1, 'bob']])"
1596,case sensitive string replacement in Python,"""""""Abc"""""".translate(maketrans('abcABC', 'defDEF'))"
1597,python: dictionary to string,"""""""<br/>"""""".join([('%s:: %s' % (key, value)) for key, value in list(d.items())])"
1598,how to write a unicode csv in Python 2.7,self.writer.writerow([str(s).encode('utf-8') for s in row])
1599,how to clear the screen in python,os.system('cls')
1600,how to clear the screen in python,os.system('clear')
1601,In python 2.4,os.system('tcsh your_own_script')
1602,In python 2.4,"os.system(""zsh -c 'echo $0'"")"
1603,Updating a list of python dictionaries with a key,"[dict(d, count=n) for d, n in zip(l1, l2)]"
1604,sum each value in a list of tuples,[sum(x) for x in zip(*l)]
1605,sum each value in a list of tuples,"map(sum, zip(*l))"
1606,Counting the number of non-NaN elements in a numpy ndarray matrix in Python,np.count_nonzero(~np.isnan(data))
1607,Python: transform a list of lists of tuples,"map(list, zip(*main_list))"
1608,Django - taking values from POST request,"request.POST.get('title', '')"
1609,Check if string ends with one of the strings from a list,"""""""test.mp3"""""".endswith(('.mp3', '.avi'))"
1610,Splitting strings in python,"re.findall('\\[[^\\]]*\\]|""[^""]*""|\\S+', s)"
1611,Get top biggest values from each column of the pandas.DataFrame,"data.apply(lambda x: sorted(x, 3))"
1612,How do I permanently set the current directory to the Desktop in Python?,os.chdir('C:/Users/Name/Desktop')
1613,getting string between 2 characters in python,"re.findall('\\$([^$]*)\\$', string)"
1614,getting string between 2 characters in python,"re.findall('\\$(.*?)\\$', '$sin (x)$ is an function of x')"
1615,how to format date in ISO using python?,"datetime.datetime.strptime(str_date, '%m/%d/%Y').date().isoformat()"
1616,Selecting specific column in each row from array,"A[[0, 1], [0, 1]]"
1617,Selecting specific column in each row from array,"a[np.arange(3), (0, 1, 0)]"
1618,Counting values in dictionary,"[k for k, v in dictA.items() if v.count('duck') > 1]"
1619,Sub matrix of a list of lists (without numpy),"[[2, 3, 4], [2, 3, 4], [2, 3, 4]]"
1620,How to call an element in an numpy array?,"print(arr[1, 1])"
1621,Setting matplotlib colorbar range,"quadmesh.set_clim(vmin=0, vmax=15)"
1622,read csv into record array in numpy,"my_data = genfromtxt('my_file.csv', delimiter=',')"
1623,read csv into record array in numpy,"df = pd.read_csv('myfile.csv', sep=',', header=None)"
1624,read csv into record array in numpy,"np.genfromtxt('myfile.csv', delimiter=',')"
1625,read csv into record array,"np.genfromtxt('myfile.csv', delimiter=',', dtype=None)"
1626,How do I read the first line of a string?,my_string.splitlines()[0]
1627,How do I read the first line of a string?,"my_string.split('\n', 1)[0]"
1628,How to generate a list from a pandas DataFrame with the column name and column values?,df.values.tolist()
1629,How to replace repeated instances of a character with a single instance of that character in python,"re.sub('\\*\\*+', '*', text)"
1630,How to replace repeated instances of a character with a single instance of that character in python,"re.sub('\\*+', '*', text)"
1631,Multiplying values from two different dictionaries together in Python,"dict((k, v * dict2[k]) for k, v in list(dict1.items()) if k in dict2)"
1632,Random strings in Python,return ''.join(random.choice(string.lowercase) for i in range(length))
1633,How to count all elements in a nested dictionary?,sum(len(x) for x in list(food_colors.values()))
1634,How to count all elements in a nested dictionary?,sum(len(v) for v in food_colors.values())
1635,How to apply a logical operator to all elements in a python list,all(a_list)
1636,Removing characters from string Python,""""""""""""".join(c for c in text if c not in 'aeiouAEIOU')"
1637,Divide two lists in python,"[(x / y) for x, y in zip(a, b)]"
1638,Capturing group with findall?,"re.findall('abc(de)fg(123)', 'abcdefg123 and again abcdefg123')"
1639,applying functions to groups in pandas dataframe,df.groupby('type').apply(lambda x: np.mean(np.log2(x['v'])))
1640,Searching if the values on a list is in the dictionary whose format is key-string,"[key for key, value in list(my_dict.items()) if set(value).intersection(lst)]"
1641,Searching if the values on a list is in the dictionary whose format is key-string,"[key for item in lst for key, value in list(my_dict.items()) if item in value]"
1642,Add tuple to a list of tuples,"c = [[(i + j) for i, j in zip(e, b)] for e in a]"
1643,Python: Get relative path from comparing two absolute paths,"os.path.commonprefix(['/usr/var', '/usr/var2/log'])"
1644,Python: Get relative path from comparing two absolute paths,"print(os.path.relpath('/usr/var/log/', '/usr/var'))"
1645,filtering grouped df in pandas,grouped.filter(lambda x: len(x) > 1)
1646,Python: sorting a dictionary of lists,"sorted(list(myDict.items()), key=lambda e: e[1][2])"
1647,What is the most pythonic way to avoid specifying the same value in a string,"""""""hello {name}, how are you {name}, welcome {name}"""""".format(name='john')"
1648,How to reorder indexed rows based on a list in Pandas data frame,"df.reindex(['Z', 'C', 'A'])"
1649,determine if a list contains other lists,"any(isinstance(el, list) for el in input_list)"
1650,get the size of a list,len(items)
1651,get the size of a list,"len([1, 2, 3])"
1652,get the size of a list,items.__len__()
1653,get the size of a list,len()
1654,get the size of a list,len(s)
1655,Fastest way to sort each row in a pandas dataframe,"df.sort(axis=1, ascending=False)"
1656,Fastest way to sort each row in a pandas dataframe,"df.sort(df.columns, axis=1, ascending=False)"
1657,Pandas DataFrame Groupby two columns and get counts,"df.groupby(['col5', 'col2']).size().groupby(level=1).max()"
1658,How would I check a string for a certain letter in Python?,"'x' in ['x', 'd', 'a', 's', 'd', 's']"
1659,Delete a dictionary item if the key exists,"mydict.pop('key', None)"
1660,Delete a dictionary item if the key exists,del mydict[key]
1661,Delete a dictionary item if the key exists,try:\n    del mydict[key]\nexcept KeyError:\n    pass\ntry:\n    del mydict[key]\nexcept KeyError:\n    pass
1662,Multiple positional arguments with Python and argparse,"parser.add_argument('input', nargs='+')"
